MouseID,Generation,Born_Date,Test_Date,Age,BodyWeight,Forepaws_T1,Forepaws_T2,Forepaws_T3,AllPaws_T1,AllPaws_T2,AllPaws_T3
DO-20-1019,G22_W2,3/1/16,12/27/16,43,25.62,87.673,99.673,104.963,152.787,174.043,182.159
DO-20-1021,G22_W2,3/1/16,12/27/16,43,47.28,80.655,93.26,87.525,162.787,171.043,166.159
DO-20-1022,G22_W2,3/1/16,12/27/16,43,38.38,115.657,94.533,102.981,250.499,235.657,247.951
DO-20-1023,G22_W2,3/1/16,12/27/16,43,39.9,83.487,92.246,86.819,177.36,154.215,165.501
DO-20-1024,G22_W2,3/1/16,12/27/16,43,40.58,123.601,104.648,117.168,178.717,147.75,172.052
DO-20-1025,G22_W2,3/1/16,12/27/16,43,25.54,103.331,128.059,108.586,173.175,159.067,161.934
DO-20-1026,G22_W2,3/1/16,12/27/16,43,32.25,83.702,92.943,56.277,204.298,181.508,227.05
DO-20-1027,G22_W2,3/1/16,12/27/16,43,45.81,128.409,107.671,135.448,186.818,199.802,148.097
DO-20-1028,G22_W2,3/1/16,12/27/16,43,31.85,125.695,133.445,122.36,210.849,218.989,197.424
DO-20-1029,G22_W2,3/1/16,12/27/16,43,23.92,111.12,126.547,121.934,203.366,213.598,182.475
DO-20-1030,G22_W2,3/1/16,12/27/16,43,39.75,109.455,81.355,117.206,151.778,186.969,174.374
DO-20-1032,G22_W2,3/1/16,12/27/16,43,33.48,83.734,96.067,110.741,170.423,183.251,196.78
DO-40-2017,G22_W2,3/1/16,12/27/16,43,26.61,78.641,84.145,117.244,153.965,126.197,187.591
DO-40-2018,G22_W2,3/1/16,12/27/16,43,23.32,124.61,128.71,115.889,138.447,152.943,175.151
DO-40-2019,G22_W2,3/1/16,12/27/16,43,25.54,123.757,111.975,97.161,197.13,183.734,192.09
DO-40-2020,G22_W2,3/1/16,12/27/16,43,21.58,128.679,115.12,122.431,153.639,166.159,173.095
DO-40-2021,G22_W2,3/1/16,12/27/16,43,37.97,164.686,178.291,182.369,258.802,238.908,233.366
DO-40-2022,G22_W2,3/1/16,12/27/16,43,27.13,95.927,123.213,105.307,216.236,247.706,228.999
DO-40-2023,G22_W2,3/1/16,12/27/16,43,24.77,145.383,116.818,83.989,153.849,149.22,221.31
DO-40-2024,G22_W2,3/1/16,12/27/16,43,22.54,117.671,102.322,89.105,202.939,175.653,184.18
DO-40-2025,G22_W2,3/1/16,12/27/16,43,23.26,104.492,112.336,142.863,233.21,190.073,200.189
DO-40-2026,G22_W2,3/1/16,12/27/16,43,21.03,102.322,103.601,97.632,152.395,125.962,143.557
DO-40-2027,G22_W2,3/1/16,12/27/16,43,19.06,95.501,88.253,92.749,104.028,121.158,144.957
DO-40-2028,G22_W2,3/1/16,12/27/16,43,18.11,90.229,100.617,120.267,133.56,141.546,179.064
DO-40-2029,G22_W2,3/1/16,12/27/16,43,31.21,118.097,66.509,72.052,134.724,189.57,150.925
DO-40-2030,G22_W2,3/1/16,12/27/16,43,26.8,86.197,86.974,86.121,152.087,132.978,159.879
DO-40-2032,G22_W2,3/1/16,12/27/16,43,22.77,75.889,51.587,98.911,179.917,171.816,241.737
DO-1D-3017,G22_W2,3/1/16,12/27/16,43,34.32,108.717,132.204,121.854,191.567,216.156,229.373
DO-1D-3018,G22_W2,3/1/16,12/27/16,43,45.31,102.904,98.331,110.811,236.697,187.165,211.04
DO-1D-3019,G22_W2,3/1/16,12/27/16,43,33.89,155.383,134.298,131.314,252.201,226.815,240.884
DO-1D-3020,G22_W2,3/1/16,12/27/16,43,31.38,99.764,83.166,112.414,189.296,162.36,137.476
DO-1D-3022,G22_W2,3/1/16,12/27/16,43,26.82,91.664,121.081,115.112,217.676,209.738,196.08
DO-1D-3023,G22_W2,3/1/16,12/27/16,43,53.36,115.112,135.577,121.78,220.031,205.575,212.745
DO-1D-3024,G22_W2,3/1/16,12/27/16,43,45.69,131.314,116.818,119.632,140.849,129.074,142.749
DO-1D-3026,G22_W2,3/1/16,12/27/16,43,36.71,61.819,83.293,73.331,183.213,159.646,149.144
DO-1D-3027,G22_W2,3/1/16,12/27/16,43,36.96,127.476,100.111,138.135,210.023,196.312,237.047
DO-1D-3028,G22_W2,3/1/16,12/27/16,43,42.87,101.469,99.19,107.749,222.978,234.473,228.109
DO-1D-3029,G22_W2,3/1/16,12/27/16,43,41.98,108.173,107.476,107.438,233.057,242.863,217.861
DO-1D-3030,G22_W2,3/1/16,12/27/16,43,30.42,106.438,101.275,98.911,153.134,169.993,155.567
DO-1D-3031,G22_W2,3/1/16,12/27/16,43,42.38,153.385,133.331,125.345,186.312,198.049,219.567
DO-1D-3032,G22_W2,3/1/16,12/27/16,43,37.36,117.826,114.104,128.532,194.369,187.632,183.989
DO-2D-4017,G22_W2,3/1/16,12/27/16,43,25.93,99.104,95.074,118.95,179.335,185.498,187.085
DO-2D-4018,G22_W2,3/1/16,12/27/16,43,35.9,105.733,10.231,106.586,170.964,178.861,181.813
DO-2D-4019,G22_W2,3/1/16,12/27/16,43,31.53,94.957,102.638,100.19,196.894,180.693,193.376
DO-2D-4020,G22_W2,3/1/16,12/27/16,43,45.87,153.91,145.965,124.492,235.577,226.159,262.01
DO-2D-4021,G22_W2,3/1/16,12/27/16,43,33.85,104.151,109.996,97.516,208.723,200.243,197.359
DO-2D-4022,G22_W2,3/1/16,12/27/16,43,25.16,110.671,91.237,83.213,179.144,168.329,165.151
DO-2D-4023,G22_W2,3/1/16,12/27/16,43,25.95,111.577,99.958,118.95,160.187,164.995,181.081
DO-2D-4024,G22_W2,3/1/16,12/27/16,43,33.63,102.795,106.197,86.538,172.078,175.095,195.087
DO-2D-4025,G22_W2,3/1/16,12/27/16,43,33.58,109.3,114.671,100.71,185.345,158.135,172.893
DO-2D-4026,G22_W2,3/1/16,12/27/16,43,28.08,118.128,110.274,112.848,189.144,152.593,186.312
DO-2D-4027,G22_W2,3/1/16,12/27/16,43,25.47,73.525,92.981,77.598,152.319,184.212,188.056
DO-2D-4028,G22_W2,3/1/16,12/27/16,43,31.68,99.632,105.183,115.168,179.834,185.265,188.017
DO-2D-4029,G22_W2,3/1/16,12/27/16,43,38.68,78.447,64.492,71.438,146.738,137.397,169.071
DO-2D-4030,G22_W2,3/1/16,12/27/16,43,32.43,117.826,105.501,104.028,136.468,153.328,133.522
DO-2D-4031,G22_W2,3/1/16,12/27/16,43,38.86,135.927,140.423,122.787,159.768,163.218,152.009
DO-2D-4032,G22_W2,3/1/16,12/27/16,43,44.32,112.166,118.95,114.978,215.597,221.934,235.418
DO-AL-0001,G22_W1,2/9/16,12/12/16,44,34.71,101.259,104.833,131.041,110.194,127.468,184.649
DO-AL-0002,G22_W1,2/9/16,12/12/16,44,46.23,69.094,36.334,42.886,97.09,92.324,157.25
DO-AL-0003,G22_W1,2/9/16,12/12/16,44,26.4,86.368,141.763,106.024,147.124,141.763,119.129
DO-AL-0004,G22_W1,2/9/16,12/12/16,44,56.08,92.92,112.576,125.085,128.063,166.78,134.615
DO-AL-0005,G22_W1,2/9/16,12/12/16,44,41.95,146.528,122.107,107.216,132.828,148.911,104.237
DO-AL-0006,G22_W1,2/9/16,12/12/16,44,36.03,128.063,84.581,66.116,121.511,128.063,167.376
DO-AL-0007,G22_W1,2/9/16,12/12/16,44,44.21,99.472,65.52,63.734,164.993,133.424,150.102
